,actors,movies
353,hrithik roshan,Lakshya
354,preity zinta,Lakshya
355,sharad s. kapoor,Lakshya
356,bobby deol,23rd March 1931: Shaheed
357,sunny deol,23rd March 1931: Shaheed
358,amrita singh,23rd March 1931: Shaheed
359,rahul dev,23rd March 1931: Shaheed
360,anil kapoor,Badhaai Ho Badhaai
361,anang desai,Badhaai Ho Badhaai
362,rohini hattangadi,Badhaai Ho Badhaai
363,vinay jain,Badhaai Ho Badhaai
364,bobby deol,Humraaz
365,akshaye khanna,Humraaz
366,ameesha patel,Humraaz
367,johnny lever,Humraaz
368,sohail khan,Maine Dil Tujhko Diya
369,sameera reddy,Maine Dil Tujhko Diya
370,sanjay dutt,Maine Dil Tujhko Diya
371,kabir bedi,Maine Dil Tujhko Diya
372,ajay devgn,Chori Chori
373,sonali bendre,Chori Chori
374,rani mukerji,Chori Chori
375,kamini kaushal,Chori Chori
376,akshay kumar,Jaani Dushman: Ek Anokhi Kahani
377,atul agnihotri,Jaani Dushman: Ek Anokhi Kahani
378,raj babbar,Jaani Dushman: Ek Anokhi Kahani
379,rajat bedi,Jaani Dushman: Ek Anokhi Kahani
380,vikram gokhale,Kuch Tum Kaho Kuch Hum Kahein
381,dinesh hingoo,Kuch Tum Kaho Kuch Hum Kahein
382,adi irani,Kuch Tum Kaho Kuch Hum Kahein
383,farida jalal,Kuch Tum Kaho Kuch Hum Kahein
384,rajesh khanna,Kyaa Dil Ne Kahaa
385,tusshar kapoor,Kyaa Dil Ne Kahaa
386,esha deol,Kyaa Dil Ne Kahaa
387,raj babbar,Kyaa Dil Ne Kahaa
388,waheeda rehman,Om Jai Jagadish
389,anil kapoor,Om Jai Jagadish
390,fardeen khan,Om Jai Jagadish
391,abhishek bachchan,Om Jai Jagadish
392,zulfi sayed,Taj Mahal: An Eternal Love Story
393,sonya jehan,Taj Mahal: An Eternal Love Story
394,kabir bedi,Taj Mahal: An Eternal Love Story
395,arbaaz khan,Taj Mahal: An Eternal Love Story
396,rishi kapoor,Yeh Hai Jalwa
397,salman khan,Yeh Hai Jalwa
398,ameesha patel,Yeh Hai Jalwa
399,rati agnihotri,Yeh Hai Jalwa
