,actors,movies
2092,abhay deol,Manorama Six Feet Under
2093,gul panag,Manorama Six Feet Under
2094,raima sen,Manorama Six Feet Under
2095,sarika,Manorama Six Feet Under
2096,shawar ali,99.9 FM
2097,jaipreet nagra,99.9 FM
2098,raima sen,99.9 FM
2099,dipannita sharma,99.9 FM
2100,mithun chakraborty,Arjun Devaa
2101,puru rajkumar,Arjun Devaa
2102,rutika singh,Arjun Devaa
2103,gajendra chouhan,Arjun Devaa
2104,priyanka chopra,Fashion
2105,kangana ranaut,Fashion
2106,mugdha godse,Fashion
2107,arbaaz khan,Fashion
2108,amitabh bachchan,Cheeni Kum
2109,tabu,Cheeni Kum
2110,paresh rawal,Cheeni Kum
2111,zohra segal,Cheeni Kum
2112,nana patekar,Hattrick
2113,danny denzongpa,Hattrick
2114,paresh rawal,Hattrick
2115,kunal kapoor,Hattrick
2116,mohan azaad,Gauri: The Unborn
2117,anupam kher,Gauri: The Unborn
2118,atul kulkarni,Gauri: The Unborn
2119,manasi,Gauri: The Unborn
2120,abhishek bachchan,Laaga Chunari Mein Daag: Journey of a Woman
2121,rani mukerji,Laaga Chunari Mein Daag: Journey of a Woman
2122,konkona sen sharma,Laaga Chunari Mein Daag: Journey of a Woman
2123,jaya bhaduri,Laaga Chunari Mein Daag: Journey of a Woman
2124,madhuri dixit,Aaja Nachle
2125,darshan jariwala,Aaja Nachle
2126,raghuvir yadav,Aaja Nachle
2127,divya dutta,Aaja Nachle
2128,darsheel safary,Taare Zameen Par
2129,aamir khan,Taare Zameen Par
2130,tanay chheda,Taare Zameen Par
2131,sachet engineer,Taare Zameen Par
2132,jimmy shergill,A Flat
2133,sanjay suri,A Flat
2134,hazel croney,A Flat
2135,kaveri jha,A Flat
2136,jimmy shergill,Delhii Heights
2137,neha dhupia,Delhii Heights
2138,kamini khanna,Delhii Heights
2139,madhavan,Delhii Heights
2140,abhay bhargav,30 Days
2141,milind gunaji,30 Days
2142,dinesh hingoo,30 Days
2143,mushtaq khan,30 Days
2144,amitabh bachchan,Bhoothnath
2145,juhi chawla,Bhoothnath
2146,satish shah,Bhoothnath
2147,rajpal yadav,Bhoothnath
2148,akshay kumar,Bhool Bhulaiyaa
2149,vidya balan,Bhool Bhulaiyaa
2150,ameesha patel,Bhool Bhulaiyaa
2151,shiney ahuja,Bhool Bhulaiyaa
2152,sharman joshi,Dhol
2153,tusshar kapoor,Dhol
2154,kunal khemu,Dhol
2155,rajpal yadav,Dhol
2156,abhay deol,Ek Chalis Ki Last Local
2157,neha dhupia,Ek Chalis Ki Last Local
2158,amit mistry,Ek Chalis Ki Last Local
2159,ashok samarth,Ek Chalis Ki Last Local
2160,john abraham,No Smoking
2161,ayesha takia,No Smoking
2162,paresh rawal,No Smoking
2163,ranvir shorey,No Smoking
2164,akshay kumar,Tashan
2165,saif ali khan,Tashan
2166,kareena kapoor,Tashan
2167,anil kapoor,Tashan
2168,shiney ahuja,Khoya Khoya Chand
2169,soha ali khan,Khoya Khoya Chand
2170,rajat kapoor,Khoya Khoya Chand
2171,vinay pathak,Khoya Khoya Chand
2172,emraan hashmi,The Train: Some Lines Shoulder Never Be Crossed...
2173,geeta basra,The Train: Some Lines Shoulder Never Be Crossed...
2174,rajat bedi,The Train: Some Lines Shoulder Never Be Crossed...
2175,anant mahadevan,The Train: Some Lines Shoulder Never Be Crossed...
2176,himesh reshammiya,Aap Kaa Surroor: The Moviee - The Real Luv Story
2177,hansika motwani,Aap Kaa Surroor: The Moviee - The Real Luv Story
2178,mallika sherawat,Aap Kaa Surroor: The Moviee - The Real Luv Story
2179,shravan rathod,Aap Kaa Surroor: The Moviee - The Real Luv Story
2180,vinay pathak,Bheja Fry
2181,rajat kapoor,Bheja Fry
2182,sarika,Bheja Fry
2183,milind soman,Bheja Fry
2184,parvin dabas,Yehi Hai Zindagi
2185,benjamin gilani,Yehi Hai Zindagi
2186,sahil khan,Yehi Hai Zindagi
2187,sheetal kshirsagar,Yehi Hai Zindagi
2188,anand abhyankar,Chain Kulii Ki Main Kulii
2189,parimal aloke,Chain Kulii Ki Main Kulii
2190,chandan anand,Chain Kulii Ki Main Kulii
2191,bobby bedi,Chain Kulii Ki Main Kulii
2192,saif ali khan,Race
2193,akshaye khanna,Race
2194,bipasha basu,Race
2195,katrina kaif,Race
2196,salil acharya,Awarapan
2197,emraan hashmi,Awarapan
2198,j. brandon hill,Awarapan
2199,rehan khan,Awarapan
2200,bobby deol,Naqaab
2201,akshaye khanna,Naqaab
2202,urvashi sharma,Naqaab
2203,vikas kalantri,Naqaab
2204,aftab shivdasani,De Taali
2205,ayesha takia,De Taali
2206,ritesh deshmukh,De Taali
2207,rimi sen,De Taali
2208,anupam kher,Meerabai Not Out
2209,mahesh manjrekar,Meerabai Not Out
2210,mandira bedi,Meerabai Not Out
2211,eijaz khan,Meerabai Not Out
2212,shah rukh khan,Om Shanti Om
2213,arjun rampal,Om Shanti Om
2214,kiron kher,Om Shanti Om
2215,shreyas talpade,Om Shanti Om
2216,hrithik roshan,Krrish 3
2217,amitabh bachchan,Krrish 3
2218,priyanka chopra,Krrish 3
2219,naseeruddin shah,Krrish 3
2220,sanjay dutt,Kidnap
2221,imran khan,Kidnap
2222,minissha lamba,Kidnap
2223,vidya malvade,Kidnap
2224,ajay devgn,Sunday
2225,ayesha takia,Sunday
2226,arshad warsi,Sunday
2227,irrfan khan,Sunday
2228,ajay devgn,U Me Aur Hum
2229,kajol,U Me Aur Hum
2230,sumeet raghvan,U Me Aur Hum
2231,divya dutta,U Me Aur Hum
2232,waheeda rehman,Delhi-6
2233,abhishek bachchan,Delhi-6
2234,sonam kapoor,Delhi-6
2235,rishi kapoor,Delhi-6
2236,sikander kher,Woodstock Villa
2237,neha uberoi,Woodstock Villa
2238,arbaaz khan,Woodstock Villa
2239,gulshan grover,Woodstock Villa
2240,sherlyn chopra,Red Swastik
2241,udayyan raathore,Red Swastik
2242,zahid ali,Red Swastik
2243,amrita,Red Swastik
2244,saif ali khan,Roadside Romeo
2245,kareena kapoor,Roadside Romeo
2246,javed jaffrey,Roadside Romeo
2247,vrajesh hirjee,Roadside Romeo
2248,armaan shahabi,Chanchal
2249,gracy singh,Chanchal
2250,jayshree arora,Drona
2251,veer arya,Drona
2252,abhishek bachchan,Drona
2253,jaya bhaduri,Drona
2254,arun bakshi,My Friend Ganesha
2255,ahsaas channa,My Friend Ganesha
2256,kiran janjani,My Friend Ganesha
2257,mushtaq khan,My Friend Ganesha
2258,dharmendra,Johnny Gaddaar
2259,rimi sen,Johnny Gaddaar
2260,ashwini khalsekar,Johnny Gaddaar
2261,neil nitin mukesh,Johnny Gaddaar
2262,jimmy shergill,Hastey Hastey Follow Your Heart
2263,rajpal yadav,Hastey Hastey Follow Your Heart
2264,shakti kapoor,Hastey Hastey Follow Your Heart
2265,ann marie seall,Hastey Hastey Follow Your Heart
2266,mona ambegaonkar,Buddha Mar Gaya
2267,jitender bhargava,Buddha Mar Gaya
2268,birbal,Buddha Mar Gaya
2269,heenaa biswas,Buddha Mar Gaya
2270,sunil pal,Journey Bombay to Goa: Laughter Unlimited
2271,raju srivastava,Journey Bombay to Goa: Laughter Unlimited
2272,vijay raaz,Journey Bombay to Goa: Laughter Unlimited
2273,ehsaan qureshi,Journey Bombay to Goa: Laughter Unlimited
2274,salman khan,Wanted
2275,ayesha takia,Wanted
2276,vinod khanna,Wanted
2277,mahesh manjrekar,Wanted
2278,bharati achrekar,Hello
2279,amrita arora,Hello
2280,sharman joshi,Hello
2281,katrina kaif,Hello
2282,muzammil ibrahim,Dhokha
2283,tulip joshi,Dhokha
2284,aushima sawhney,Dhokha
2285,bharat dabholkar,Dhokha
2286,akshay kumar,Chandni Chowk to China
2287,deepika padukone,Chandni Chowk to China
2288,mithun chakraborty,Chandni Chowk to China
2289,ranvir shorey,Chandni Chowk to China
2290,amrita arora,Golmaal Returns
2291,leigh barwell,Golmaal Returns
2292,robin bhatt,Golmaal Returns
2293,ajay devgn,Golmaal Returns
2294,shahid kapoor,Jab We Met
2295,kareena kapoor,Jab We Met
2296,tarun arora,Jab We Met
2297,dara singh,Jab We Met
2298,brian dawson,Sab Kuch Hai Kuch Bhi Nahin
2299,vikram gokhale,Sab Kuch Hai Kuch Bhi Nahin
2300,puja gupta,Sab Kuch Hai Kuch Bhi Nahin
2301,a.k. hangal,Sab Kuch Hai Kuch Bhi Nahin
2302,anupam kher,Victoria No. 203: Diamonds Are Forever
2303,om puri,Victoria No. 203: Diamonds Are Forever
2304,jimmy shergill,Victoria No. 203: Diamonds Are Forever
2305,soniya mehra,Victoria No. 203: Diamonds Are Forever
2306,imaaduddin shah,Dil Dosti Etc
2307,shreyas talpade,Dil Dosti Etc
2308,smriti mishra,Dil Dosti Etc
2309,nikita anand,Dil Dosti Etc
2310,rahul bose,Shaurya: It Takes Courage to Make Right... Right
2311,javed jaffrey,Shaurya: It Takes Courage to Make Right... Right
2312,minissha lamba,Shaurya: It Takes Courage to Make Right... Right
2313,seema biswas,Shaurya: It Takes Courage to Make Right... Right
2314,akshay kumar,8 x 10 Tasveer
2315,ayesha takia,8 x 10 Tasveer
2316,javed jaffrey,8 x 10 Tasveer
2317,girish karnad,8 x 10 Tasveer
2318,shahid kapoor,Kismat Konnection
2319,vidya balan,Kismat Konnection
2320,vishal malhotra,Kismat Konnection
2321,om puri,Kismat Konnection
2322,salman khan,Yuvvraaj
2323,anil kapoor,Yuvvraaj
2324,zayed khan,Yuvvraaj
2325,mithun chakraborty,Yuvvraaj
2326,sohail khan,Heroes
2327,vatsal seth,Heroes
2328,amrita arora,Heroes
2329,riya sen,Heroes
2330,monalisa,Bobby: Love and Lust
2331,usha bachani,Bobby: Love and Lust
2332,gaurav dixit,Bobby: Love and Lust
2333,milind gunaji,Bobby: Love and Lust
2334,gracy singh,Aseema: Beyond Boundaries
2335,asseem merchant,Aseema: Beyond Boundaries
2336,neha pendse,Aseema: Beyond Boundaries
2337,aryan singh,Aseema: Beyond Boundaries
2338,john abraham,Dhan Dhana Dhan Goal
2339,arshad warsi,Dhan Dhana Dhan Goal
2340,bipasha basu,Dhan Dhana Dhan Goal
2341,boman irani,Dhan Dhana Dhan Goal
2342,bipasha basu,Pankh
2343,lillete dubey,Pankh
2344,mahesh manjrekar,Pankh
2345,ronit roy,Pankh
2346,govinda,Money Hai Toh Honey Hai
2347,manoj bajpayee,Money Hai Toh Honey Hai
2348,aftab shivdasani,Money Hai Toh Honey Hai
2349,upen patel,Money Hai Toh Honey Hai
2350,linda arsenio,Mumbai Salsa
2351,shaurya chauhan,Mumbai Salsa
2352,alisha chinoi,Mumbai Salsa
2353,vir das,Mumbai Salsa
2354,shiney ahuja,Hijack
2355,mona ambegaonkar,Hijack
2356,ishita chauhan,Hijack
2357,mukesh chhabra,Hijack
2358,mallika sherawat,Maan Gaye Mughall-E-Azam
2359,rahul bose,Maan Gaye Mughall-E-Azam
2360,paresh rawal,Maan Gaye Mughall-E-Azam
2361,kay kay menon,Maan Gaye Mughall-E-Azam
2362,mallika sherawat,Ugly Aur Pagli
2363,ranvir shorey,Ugly Aur Pagli
2364,bharati achrekar,Ugly Aur Pagli
2365,zeenat aman,Ugly Aur Pagli
2366,naveen bawa,Aabra Ka Daabra
2367,satish kaushik,Aabra Ka Daabra
2368,anupam kher,Aabra Ka Daabra
2369,krrishna,Aabra Ka Daabra
2370,neha dhupia,Rama Rama Kya Hai Dramaaa
2371,amrita arora,Rama Rama Kya Hai Dramaaa
2372,anupam kher,Rama Rama Kya Hai Dramaaa
2373,rati agnihotri,Rama Rama Kya Hai Dramaaa
2374,rajat bakshi,Yeh Hai Pyar Ka Mausam
2375,rajesh bakshi,Yeh Hai Pyar Ka Mausam
2376,prem chabra,Yeh Hai Pyar Ka Mausam
2377,harish ghera,Yeh Hai Pyar Ka Mausam
2378,sylvester stallone,Kambakkht Ishq
2379,brandon routh,Kambakkht Ishq
2380,denise richards,Kambakkht Ishq
2381,whoopi goldberg,Kambakkht Ishq
2382,akshay kumar,Singh Is Kinng
2383,katrina kaif,Singh Is Kinng
2384,om puri,Singh Is Kinng
2385,kiron kher,Singh Is Kinng
2386,himesh reshammiya,Karzzzz
2387,urmila matondkar,Karzzzz
2388,shweta kumar,Karzzzz
2389,dino morea,Karzzzz
2390,shreyas talpade,Bombay to Bangkok
2391,lena christensen,Bombay to Bangkok
2392,vijay maurya,Bombay to Bangkok
2393,manmeet singh,Bombay to Bangkok
2394,aamir khan,Ghajini
2395,asin,Ghajini
2396,jiah khan,Ghajini
2397,tinnu anand,Ghajini
2398,tusshar kapoor,C Kkompany
2399,anupam kher,C Kkompany
2400,rajpal yadav,C Kkompany
2401,raima sen,C Kkompany
2402,paresh rawal,Mere Baap Pehle Aap
2403,akshaye khanna,Mere Baap Pehle Aap
2404,genelia d'souza,Mere Baap Pehle Aap
2405,om puri,Mere Baap Pehle Aap
2406,harman baweja,Victory
2407,allan border,Victory
2408,mike hussey,Victory
2409,simon jones,Victory
2410,cary elwes,Delhi Safari
2411,christopher lloyd,Delhi Safari
2412,troy baker,Delhi Safari
2413,tom kenny,Delhi Safari
2414,kareena kapoor,Main Aurr Mrs Khanna
2415,salman khan,Main Aurr Mrs Khanna
2416,sohail khan,Main Aurr Mrs Khanna
2417,yash tonk,Main Aurr Mrs Khanna
2418,vikas anand,Zahreela
2419,asrani,Zahreela
2420,mithun chakraborty,Zahreela
2421,gulshan grover,Zahreela
2422,delhi ganesh,Jai Ganesh Deva
2423,jai ganesh,Jai Ganesh Deva
2424,nizhalgal ravi,Jai Ganesh Deva
2425,radha ravi,Jai Ganesh Deva
2426,rajendraprasad,Quick Gun Murugun: Misadventures of an Indian Cowboy
2427,nasser,Quick Gun Murugun: Misadventures of an Indian Cowboy
2428,rambha,Quick Gun Murugun: Misadventures of an Indian Cowboy
2429,raju sundaram,Quick Gun Murugun: Misadventures of an Indian Cowboy
2430,neetu chandra,One Two Three
2431,esha deol,One Two Three
2432,vrajesh hirjee,One Two Three
2433,tusshar kapoor,One Two Three
2434,shreyas talpade,Paying Guests
2435,javed jaffrey,Paying Guests
2436,aashish chaudhary,Paying Guests
2437,vatsal seth,Paying Guests
2438,kunal khemu,Superstar
2439,tulip joshi,Superstar
2440,aushima sawhney,Superstar
2441,apoorva s. badgaiyan,Superstar
2442,vivek oberoi,Mission Istaanbul: Darr Ke Aagey Jeet Hai!
2443,zayed khan,Mission Istaanbul: Darr Ke Aagey Jeet Hai!
2444,shriya saran,Mission Istaanbul: Darr Ke Aagey Jeet Hai!
2445,shabbir ahluwalia,Mission Istaanbul: Darr Ke Aagey Jeet Hai!
2446,ranvir shorey,Mithya
2447,neha dhupia,Mithya
2448,naseeruddin shah,Mithya
2449,saurabh shukla,Mithya
2450,sushmita sen,Dulha Mil Gaya
2451,fardeen khan,Dulha Mil Gaya
2452,ishita sharma,Dulha Mil Gaya
2453,shah rukh khan,Dulha Mil Gaya
2454,juhi chawla,Krazzy 4
2455,irrfan khan,Krazzy 4
2456,arshad warsi,Krazzy 4
2457,rajpal yadav,Krazzy 4
2458,shah rukh khan,Rab Ne Bana Di Jodi
2459,vinay pathak,Rab Ne Bana Di Jodi
2460,anushka sharma,Rab Ne Bana Di Jodi
2461,m.k. raina,Rab Ne Bana Di Jodi
2462,ranbir kapoor,Bachna Ae Haseeno
2463,bipasha basu,Bachna Ae Haseeno
2464,minissha lamba,Bachna Ae Haseeno
2465,deepika padukone,Bachna Ae Haseeno
2466,amitabh bachchan,Teen Patti
2467,madhavan,Teen Patti
2468,shraddha kapoor,Teen Patti
2469,siddharth kher,Teen Patti
2470,rekha,Sadiyaan: Boundaries Divide... Love Unites
2471,hema malini,Sadiyaan: Boundaries Divide... Love Unites
2472,javed sheikh,Sadiyaan: Boundaries Divide... Love Unites
2473,avtar gill,Sadiyaan: Boundaries Divide... Love Unites
2474,kay kay menon,The Stoneman Murders
2475,arbaaz khan,The Stoneman Murders
2476,rukhsar,The Stoneman Murders
2477,veerendra saxena,The Stoneman Murders
2478,salman khan,Veer
2479,mithun chakraborty,Veer
2480,jackie shroff,Veer
2481,sohail khan,Veer
2482,abhishek bachchan,Dostana
2483,john abraham,Dostana
2484,priyanka chopra,Dostana
2485,kiron kher,Dostana
2486,kareena kapoor,Kurbaan
2487,saif ali khan,Kurbaan
2488,om puri,Kurbaan
2489,vivek oberoi,Kurbaan
2490,aamir khan,3 Idiots
2491,kareena kapoor,3 Idiots
2492,madhavan,3 Idiots
2493,sharman joshi,3 Idiots
2494,salman khan,Jai Ho
2495,tabu,Jai Ho
2496,sunil shetty,Jai Ho
2497,genelia d'souza,Jai Ho
2498,shah rukh khan,My Name Is Khan
2499,kajol,My Name Is Khan
2500,katie a. keane,My Name Is Khan
2501,kenton duty,My Name Is Khan
2502,ajay devgn,Toonpur Ka Superrhero
2503,sanjay dutt,Toonpur Ka Superrhero
2504,delnaaz irani,Toonpur Ka Superrhero
2505,chinky jaiswal,Toonpur Ka Superrhero
2506,gul panag,Hello Darling
2507,celina jaitly,Hello Darling
2508,isha koppikar,Hello Darling
2509,chunky pandey,Hello Darling
2510,rishi kapoor,Thoda Pyaar Thoda Magic
2511,saif ali khan,Thoda Pyaar Thoda Magic
2512,rani mukerji,Thoda Pyaar Thoda Magic
2513,akshat chopra,Thoda Pyaar Thoda Magic
2514,priyanka chopra,Jaane Kahan Se Aayi Hai
2515,akshay kumar,Jaane Kahan Se Aayi Hai
2516,jacqueline fernandez,Jaane Kahan Se Aayi Hai
2517,karan johar,Jaane Kahan Se Aayi Hai
2518,nana patekar,Get Educated: Paathshaala
2519,shahid kapoor,Get Educated: Paathshaala
2520,ayesha takia,Get Educated: Paathshaala
2521,sushant singh,Get Educated: Paathshaala
2522,isha koppikar,Ek Vivaah... Aisa Bhi
2523,sonu sood,Ek Vivaah... Aisa Bhi
2524,anand abhyankar,Ek Vivaah... Aisa Bhi
2525,daman baggan,Ek Vivaah... Aisa Bhi
2526,hrithik roshan,Kites
2527,bárbara mori,Kites
2528,steven michael quezada,Kites
2529,kangana ranaut,Kites
2530,gaurav kapoor,Bad Luck Govind
2531,hrishitaa bhatt,Bad Luck Govind
2532,govind namdeo,Bad Luck Govind
2533,zakir hussain,Bad Luck Govind
2534,manisha koirala,Tulsi: Mathrudevobhava
2535,irrfan khan,Tulsi: Mathrudevobhava
2536,sadashiv amrapurkar,Tulsi: Mathrudevobhava
2537,tinnu anand,Tulsi: Mathrudevobhava
2538,fardeen khan,Acid Factory
2539,dia mirza,Acid Factory
2540,manoj bajpayee,Acid Factory
2541,aftab shivdasani,Acid Factory
2542,chetanya adeep,Ab... Bas!
2543,shawar ali,Ab... Bas!
2544,arun bakshi,Ab... Bas!
2545,chitrapama,Ab... Bas!
2546,naseeruddin shah,Barah Aana
2547,vijay raaz,Barah Aana
2548,arjun mathur,Barah Aana
2549,violante placido,Barah Aana
2550,shahid kapoor,Dil Bole Hadippa!
2551,rani mukerji,Dil Bole Hadippa!
2552,anupam kher,Dil Bole Hadippa!
2553,dalip tahil,Dil Bole Hadippa!
2554,dino morea,Bhram: An Illusion
2555,milind soman,Bhram: An Illusion
2556,sheetal menon,Bhram: An Illusion
2557,simone singh,Bhram: An Illusion
2558,ajita,26th July at Barista
2559,himani chawla,26th July at Barista
2560,sumeet chawla,26th July at Barista
2561,suresh dubey,26th July at Barista
2562,emraan hashmi,Jannat: In Search of Heaven...
2563,sonal chauhan,Jannat: In Search of Heaven...
2564,shakeel khan,Jannat: In Search of Heaven...
2565,sameer kochhar,Jannat: In Search of Heaven...
2566,amitabh bachchan,Yaar Meri Zindagi
2567,shatrughan sinha,Yaar Meri Zindagi
2568,sharda,Yaar Meri Zindagi
2569,sudha chandran,Yaar Meri Zindagi
2570,konkona sen sharma,The President Is Coming
2571,shernaz patel,The President Is Coming
2572,shivani tanksale,The President Is Coming
2573,anand tiwari,The President Is Coming
2574,irrfan khan,Dil Kabaddi
2575,rahul bose,Dil Kabaddi
2576,rahul khanna,Dil Kabaddi
2577,konkona sen sharma,Dil Kabaddi
2578,kay kay menon,Via Darjeeling
2579,sonali kulkarni,Via Darjeeling
2580,parvin dabas,Via Darjeeling
2581,vinay pathak,Via Darjeeling
2582,malaika arora,EMI: Liya Hai To Chukana Padega
2583,arun bakshi,EMI: Liya Hai To Chukana Padega
2584,aashish chaudhary,EMI: Liya Hai To Chukana Padega
2585,snehal dabi,EMI: Liya Hai To Chukana Padega
2586,shreyas talpade,Welcome to Sajjanpur
2587,amrita rao,Welcome to Sajjanpur
2588,ravi kishan,Welcome to Sajjanpur
2589,ila arun,Welcome to Sajjanpur
2590,raj singh arora,Mumbai Cutting
2591,abhisar bose,Mumbai Cutting
2592,neetu chandra,Mumbai Cutting
2593,master chinmay,Mumbai Cutting
2594,akshay kumar,Blue
2595,sanjay dutt,Blue
2596,lara dutta,Blue
2597,zayed khan,Blue
2598,kay kay menon,Sirf....: Life Looks Greener on the Other Side
2599,manisha koirala,Sirf....: Life Looks Greener on the Other Side
2600,ranvir shorey,Sirf....: Life Looks Greener on the Other Side
2601,sonali kulkarni,Sirf....: Life Looks Greener on the Other Side
2602,john abraham,Aashayein
2603,anaitha nair,Aashayein
2604,girish karnad,Aashayein
2605,farida jalal,Aashayein
2606,shubhankar atre,Aladin
2607,amitabh bachchan,Aladin
2608,victor banerjee,Aladin
2609,dhaval barbhaya,Aladin
2610,mimoh chakraborty,Jimmy
2611,rati agnihotri,Jimmy
2612,vikas anand,Jimmy
2613,rahul dev,Jimmy
2614,sunil shetty,Mr. White Mr. Black
2615,arshad warsi,Mr. White Mr. Black
2616,sadashiv amrapurkar,Mr. White Mr. Black
2617,deep dhillon,Mr. White Mr. Black
2618,nargis bagheri,Pranali: The Tradition
2619,upendra limaye,Pranali: The Tradition
2620,sudha chandran,Pranali: The Tradition
2621,raman trikha,Pranali: The Tradition
2622,arjun rampal,Rock On!!
2623,farhan akhtar,Rock On!!
2624,luke kenny,Rock On!!
2625,purab kohli,Rock On!!
2626,irrfan khan,Billu
2627,shah rukh khan,Billu
2628,lara dutta,Billu
2629,om puri,Billu
2630,sanjay dutt,Mehbooba
2631,manisha koirala,Mehbooba
2632,ajay devgn,Mehbooba
2633,asrani,Mehbooba
2634,mithun chakraborty,Phir Kabhi
2635,dimple kapadia,Phir Kabhi
2636,rati agnihotri,Phir Kabhi
2637,gulshan grover,Phir Kabhi
2638,azghar,Alibaba Aur 40 Chor
2639,brownie,Alibaba Aur 40 Chor
2640,divya divedi,Alibaba Aur 40 Chor
2641,anwar fatehan,Alibaba Aur 40 Chor
2642,jackie shroff,Dhoom Dadakka
2643,anupam kher,Dhoom Dadakka
2644,satish shah,Dhoom Dadakka
2645,gulshan grover,Dhoom Dadakka
2646,rajeev khandelwal,Aamir
2647,aishwarya,Aamir
2648,vasan bala,Aamir
2649,chinkal,Aamir
2650,kiron kher,Saas Bahu Aur Sensex
2651,farooq shaikh,Saas Bahu Aur Sensex
2652,ankur khanna,Saas Bahu Aur Sensex
2653,masumeh makhija,Saas Bahu Aur Sensex
2654,harman baweja,What's Your Raashee?
2655,priyanka chopra,What's Your Raashee?
2656,anjan srivastav,What's Your Raashee?
2657,manju singh,What's Your Raashee?
2658,mithun chakraborty,Luck
2659,sanjay dutt,Luck
2660,imran khan,Luck
2661,ravi kishan,Luck
2662,david bueno,Contract
2663,vibha cheebur,Contract
2664,raaj gopal,Contract
2665,sakshi gulati,Contract
2666,mallika sherawat,Hisss
2667,irrfan khan,Hisss
2668,jeff doucette,Hisss
2669,divya dutta,Hisss
2670,neil nitin mukesh,Jail
2671,manoj bajpayee,Jail
2672,arya babbar,Jail
2673,mirza ali quli,Jail
2674,amita pathak,Haal-e-Dil
2675,nakuul mehta,Haal-e-Dil
2676,adhyayan suman,Haal-e-Dil
2677,nassar abdulla,Haal-e-Dil
2678,rishi rehan,Khushboo: The Fragraance of Love
2679,avantika,Khushboo: The Fragraance of Love
2680,thomas tevana,Khushboo: The Fragraance of Love
2681,nassar abdulla,Khushboo: The Fragraance of Love
2682,hrishitaa bhatt,Aasma: The Sky Is the Limit
2683,seema biswas,Aasma: The Sky Is the Limit
2684,nauheed cyrusi,Aasma: The Sky Is the Limit
2685,mansi dovhal,Aasma: The Sky Is the Limit
2686,katrina kaif,Ajab Prem Ki Ghazab Kahani
2687,ranbir kapoor,Ajab Prem Ki Ghazab Kahani
2688,darshan jariwala,Ajab Prem Ki Ghazab Kahani
2689,smita jaykar,Ajab Prem Ki Ghazab Kahani
2690,kay kay menon,Sankat City
2691,rimi sen,Sankat City
2692,anupam kher,Sankat City
2693,chunky pandey,Sankat City
2694,jackie shroff,Hari Puttar: A Comedy of Terrors
2695,sarika,Hari Puttar: A Comedy of Terrors
2696,saurabh shukla,Hari Puttar: A Comedy of Terrors
2697,vijay raaz,Hari Puttar: A Comedy of Terrors
2698,akshay kumar,De Dana Dan
2699,sunil shetty,De Dana Dan
2700,katrina kaif,De Dana Dan
2701,sameera reddy,De Dana Dan
2702,navin berry,Boond
2703,pankaj berry,Boond
2704,birbal,Boond
2705,sudhir dalvi,Boond
2706,ahraz ahmed,Summer 2007
2707,punit aneja,Summer 2007
2708,arjan bajwa,Summer 2007
2709,neetu chandra,Summer 2007
2710,kay kay menon,Gulaal
2711,raj singh chaudhary,Gulaal
2712,jesse randhawa,Gulaal
2713,deepak dobriyal,Gulaal
2714,bobby khan,Mirchi: It's Hot
2715,nilofer khan,Mirchi: It's Hot
2716,sambhavna sheth,Mirchi: It's Hot
2717,nirmal pandey,Mirchi: It's Hot
2718,bobby deol,Chamku
2719,priyanka chopra,Chamku
2720,irrfan khan,Chamku
2721,akhilendra mishra,Chamku
2722,paresh rawal,Mumbai Meri Jaan
2723,kay kay menon,Mumbai Meri Jaan
2724,irrfan khan,Mumbai Meri Jaan
2725,madhavan,Mumbai Meri Jaan
2726,saahil chadha,Thodi Life Thoda Magic
2727,arbaaz khan,Thodi Life Thoda Magic
2728,anita raj,Thodi Life Thoda Magic
2729,jackie shroff,Thodi Life Thoda Magic
2730,sudeep,Phoonk
2731,amruta khanvilkar,Phoonk
2732,ahsaas channa,Phoonk
2733,ashwini khalsekar,Phoonk
2734,shahid kapoor,Kaminey: The Scoundrels
2735,priyanka chopra,Kaminey: The Scoundrels
2736,deb mukherjee,Kaminey: The Scoundrels
2737,shivkumar subramaniam,Kaminey: The Scoundrels
2738,saif ali khan,Love Aaj Kal
2739,deepika padukone,Love Aaj Kal
2740,rishi kapoor,Love Aaj Kal
2741,rahul khanna,Love Aaj Kal
2742,parzan dastur,Sikandar
2743,ayesha kapoor,Sikandar
2744,sanjay suri,Sikandar
2745,madhavan,Sikandar
2746,sahil khan,Ramaa: The Saviour
2747,tanushree dutta,Ramaa: The Saviour
2748,meghan jadhav,Ramaa: The Saviour
2749,koushtuv ghosh,Ramaa: The Saviour
2750,anupam kher,A Wednesday
2751,naseeruddin shah,A Wednesday
2752,jimmy shergill,A Wednesday
2753,deepal shaw,A Wednesday
2754,harsh chhaya,My Friend Ganesha 2
2755,kurush deboo,My Friend Ganesha 2
2756,bhairavi goswami,My Friend Ganesha 2
2757,ali haji,My Friend Ganesha 2
2758,shah rukh khan,Don 2
2759,priyanka chopra,Don 2
2760,hrithik roshan,Don 2
2761,om puri,Don 2
2762,farooq shaikh,Lahore
2763,nafisa ali,Lahore
2764,aanaahad,Lahore
2765,sabyasachi chakraborty,Lahore
2766,sammir dattani,Mukhbiir
2767,rahul dev,Mukhbiir
2768,om puri,Mukhbiir
2769,alok nath,Mukhbiir
2770,vinay pathak,Dasvidaniya
2771,sarita joshi,Dasvidaniya
2772,rajat kapoor,Dasvidaniya
2773,saurabh shukla,Dasvidaniya
