source,target,weight
ameesha patel,vimal kumar,1
amit behl,rajpal yadav,1
amit behl,shyam ramsay,1
amit hingorani,anil kumar sharma,1
amit mistry,sanjay m. khanduri,1
amit pachori,kanti shah,1
amit pachori,rajesh bakshi,1
amit purohit,manish manikpuri,1
amit sial,janaki vishwanathan,1
amita pathak,anil devgan,1
amita pathak,supavitra babul,1
amitabh bachchan,amaan khan,1
amitabh bachchan,amol palekar,1
amitabh bachchan,anil sharma,1
amitabh bachchan,ashok gupta,1
amitabh bachchan,farhan akhtar,1
amitabh bachchan,govind nihalani,1
amitabh bachchan,honey irani,1
amitabh bachchan,imtiaz punjabi,1
amitabh bachchan,kaizad gustad,1
amitabh bachchan,leena yadav,1
amitabh bachchan,mahesh manjrekar,1
amitabh bachchan,milan luthria,1
amitabh bachchan,mukul dutt,1
amitabh bachchan,nitesh tiwari,1
amitabh bachchan,puri jagannadh,1
amitabh bachchan,rakesh roshan,1
amitabh bachchan,rakeysh omprakash mehra,1
amitabh bachchan,ravi sharma shankar,1
amitabh bachchan,romesh sharma,1
amitabh bachchan,rumi jaffery,1
amitabh bachchan,samir karnik,1
amitabh bachchan,sanjay gupta,1
amitabh bachchan,sanjay leela bhansali,1
amitabh bachchan,shaad ali,1
amitabh bachchan,sujoy ghosh,1
amitabh bachchan,sunil kumar agrawal,1
amitabh bachchan,surya s.j.,1
amitabh bachchan,vidhu vinod chopra,1
amitabh bachchan,vikram bhatt,1
amitabh bachchan,vivek sharma,1
amitabh dayal,n. chandra,1
amitosh nagpal,priyadarshan,1
amrish puri,david dhawan,1
amrish puri,dilip shukla,1
amrish puri,s. shankar,1
amrish puri,saawan kumar tak,1
amrish puri,satish kaushik,1
amrish puri,subhash ghai,1
amrish puri,sunil kumar agrawal,1
amrish puri,surya s.j.,1
amrit maghera,saahil prem,1
amrita,vinod pande,1
amrita arora,ajay chandhok,1
amrita arora,atul agnihotri,1
amrita arora,chandrakant singh,1
amrita arora,david dhawan,1
amrita arora,karan razdan,1
amrita arora,mehul kumar,1
amrita arora,puri jagannadh,1
amrita arora,rohit shetty,1
amrita arora,samir karnik,1
amrita arora,vikram bhatt,1
amrita prakash,siddharth malhotra,1
amrita puri,abhishek kapoor,1
amrita puri,rajshree ojha,1
amrita puri,vishal mahadkar,1
amrita raichand,romilla mukherjee,1
amrita rao,anil sharma,1
amrita rao,eeshwar nivas,1
amrita rao,john mathew matthan,1
amrita rao,ken ghosh,1
amrita rao,kookie v. gulati,1
amrita rao,mahesh manjrekar,1
amrita rao,milan luthria,1
amrita rao,raj kanwar,1
amrita rao,shyam benegal,1
amrita rao,sooraj r. barjatya,1
amrita rao,subhash kapoor,1
amrita singh,abhishek varman,1
amrita singh,guddu dhanoa,1
amrita singh,pooja bhatt,1
amruta khanvilkar,milind gadagkar,1
amruta khanvilkar,ram gopal varma,1
amy jackson,gautham menon,1
amyra dastur,manish tiwary,1
anaika soti,ram gopal varma,1
anaitha nair,nagesh kukunoor,1
anamika goel,iqbal raj,1
anand abhyankar,kaushik ghatak,1
anand abhyankar,kittu saluja,1
anand abhyankar,ujjwal singh,1
anand balraj,anand balraj,1
anand raj anand,mahesh manjrekar,1
anand tiwari,krishna d.k.,1
anand tiwari,kunaal roy kapur,1
anand tiwari,praveen kumar,1
anand tiwari,raj nidimoru,1
anang desai,a. muthu,1
anang desai,aatish kapadia,1
anang desai,karan razdan,1
anang desai,satish kaushik,1
anant jog,deepak kumar bandhu,1
anant jog,mohan savalkar,1
anant mahadevan,anant mahadevan,1
anant mahadevan,hasnain hyderabadwala,1
anant mahadevan,raksha mistry,1
anay,jaiveer,1
anil chaudhary,n. chandra,1
anil dhawan,aron govil,1
anil kapoor,abbas alibhai burmawalla,1
anil kapoor,anupam kher,1
anil kapoor,dharmesh darshan,1
anil kapoor,honey irani,1
anil kapoor,indra kumar,1
anil kapoor,jijy philip,1
anil kapoor,mastan alibhai burmawalla,1
anil kapoor,nikhil advani,1
anil kapoor,priyadarshan,1
anil kapoor,rajkumar santoshi,1
anil kapoor,s. shankar,1
anil kapoor,satish kaushik,1
anil kapoor,subhash ghai,1
anil kapoor,sudhir mishra,1
anil kapoor,vijay krishna acharya,1
anil nagrath,kanti shah,1
anil rastogi,habib faisal,1
anindita nayar,ajay bhuyan,1
anindita nayar,vishal mahadkar,1
aniruddh agarwal,shyam ramsay,1
anirudh agarwal,wilson louis,1
anisa butt,shuja ali,1
anisshka,shyam ramsay,1
anita,tariq khan,1
anita hassandani,anil v. kumar,1
anita hassandani,anurag basu,1
anita hassandani,partho mitra,1
anita hassandani,santram varma,1
anita hassandani,tariq khan,1
anita raj,aanand rai,1
anjan srivastav,arnab chaudhuri,1
anjan srivastav,ashutosh gowariker,1
anjan srivastav,r.d. mallik,1
anjana sukhani,kushan nandy,1
anjori alagh,sandeep a. varma,1
anjori alagh,vikram bhatt,1
anju mahendru,pammi somal,1
ankita bhargava,milind swamy,1
ankur khanna,shona urvashi,1
ankur khanna,shonali bose,1
ankur vikal,chandan arora,1
ankush choudhary,mahesh manjrekar,1
ann marie seall,ramanjit juneja,1
ann marie seall,tony,1
annabelle wallis,romesh sharma,1
annu kapoor,rituparno ghosh,1
annu kapoor,shailesh verma,1
annu kapoor,shoojit sircar,1
anokhi dalvi,manoj amarnani,1
anshul kataria,rajesh. k.,1
anshuman jha,dibakar banerjee,1
anshuman jha,janaki vishwanathan,1
anshuman jha,sanjay m. khanduri,1
antara mali,antara mali,1
antara mali,chandan arora,1
antara mali,prawaal raman,1
antara mali,prawal raman,1
antara mali,rajat mukherjee,1
antara mali,ram gopal varma,1
antara mali,satchit puranik,1
anto boghokian,puneet issar,1
antonia bernath,subhash ghai,1
anu ansari,milind gadagkar,1
anu kashyap,rajesh bakshi,1
anuj chaudhary,parvati balagopalan,1
anuj gurwara,nagesh kukunoor,1
anuj punj,masud mirza,1
anuj sawhney,b.h. tharun kumar,1
anuj sawhney,devang dholakia,1
anuj sawhney,kalpana lajmi,1
anuj sawhney,shripal morakhia,1
anuj saxena,jag mundhra,1
anupam kher,abhinay deo,1
anupam kher,ajay chandhok,1
anupam kher,aku akbar,1
anupam kher,amol palekar,1
anupam kher,anant mahadevan,1
anupam kher,anupam sinha,1
anupam kher,anurag basu,1
anupam kher,anurag singh,1
anupam kher,ayan mukherjee,1
anupam kher,chandan arora,1
anupam kher,chandrakant kulkarni,1
anupam kher,chandrakant singh,1
anupam kher,david dhawan,1
anupam kher,dheeraj kumar,1
anupam kher,dibakar banerjee,1
anupam kher,guddu dhanoa,1
anupam kher,habib faisal,1
anupam kher,harry baweja,1
anupam kher,indra kumar,1
anupam kher,jag mundhra,1
anupam kher,jyotin goel,1
anupam kher,neeraj pandey,1
anupam kher,pankaj advani,1
anupam kher,pankaj kapur,1
anupam kher,parvin dabas,1
anupam kher,punit malhotra,1
anupam kher,ravindra gautam,1
anupam kher,rohit shetty,1
anupam kher,rumi jaffery,1
anupam kher,satyajit bhatkal,1
anupam kher,shashi ranjan,1
anupam kher,shirish kunder,1
anupam kher,sooraj r. barjatya,1
anupam maanav,shailesh verma,1
anupama verma,k. muralimohana rao,1
anupama verma,nana patekar,1
anupama verma,sanjay khanna,1
anupama verma,shashilal k. nair,1
anuradha chandan,sabir khan,1
anurag kashyap,tigmanshu dhulia,1
anusha dhandekar,raj kaushal,1
anushka sharma,aditya chopra,1
anushka sharma,nikhil advani,1
anushka sharma,parmeet sethi,1
anushka sharma,rajkumar hirani,1
anushka sharma,vishal bhardwaj,1
anushka sharma,yash chopra,1
anwar fatehan,sunil agnihotri,1
aparajit bhattacharjee,neeraj ghaywan,1
aparajit bhattacharjee,siddharth gupt,1
aparna bajpai,ayush raina,1
aparna bajpai,hemant madhukar,1
aparna kumesh,sharad sharan,1
apoorva agnihotri,ahathian,1
apoorva agnihotri,shyam ramsay,1
apoorva agnihotri,sunil kumar agrawal,1
apoorva arora,sanjivan lal,1
apoorva jha,imtiaz ali,1
apoorva s. badgaiyan,rohit jugraj,1
apporva arora,sanjivan lal,1
