,imdbid,metrics_x,actors,metrics_y,directors
376,tt0324951,actor1,bobby deol,director1,guddu dhanoa
377,tt0324951,actor2,sunny deol,director1,guddu dhanoa
378,tt0324951,actor3,amrita singh,director1,guddu dhanoa
379,tt0324951,actor4,rahul dev,director1,guddu dhanoa
380,tt0325041,actor1,anil kapoor,director1,satish kaushik
381,tt0325041,actor2,anang desai,director1,satish kaushik
382,tt0325041,actor3,rohini hattangadi,director1,satish kaushik
383,tt0325041,actor4,vinay jain,director1,satish kaushik
384,tt0326576,actor1,bobby deol,director1,abbas alibhai burmawalla
385,tt0326576,actor1,bobby deol,director2,mastan alibhai burmawalla
386,tt0326576,actor2,akshaye khanna,director1,abbas alibhai burmawalla
387,tt0326576,actor2,akshaye khanna,director2,mastan alibhai burmawalla
388,tt0326576,actor3,ameesha patel,director1,abbas alibhai burmawalla
389,tt0326576,actor3,ameesha patel,director2,mastan alibhai burmawalla
390,tt0326576,actor4,johnny lever,director1,abbas alibhai burmawalla
391,tt0326576,actor4,johnny lever,director2,mastan alibhai burmawalla
392,tt0326600,actor1,sohail khan,director1,sohail khan
393,tt0326600,actor2,sameera reddy,director1,sohail khan
394,tt0326600,actor3,sanjay dutt,director1,sohail khan
395,tt0326600,actor4,kabir bedi,director1,sohail khan
396,tt0326805,actor1,ajay devgn,director1,milan luthria
397,tt0326805,actor2,sonali bendre,director1,milan luthria
398,tt0326805,actor3,rani mukerji,director1,milan luthria
399,tt0326805,actor4,kamini kaushal,director1,milan luthria
400,tt0326983,actor1,akshay kumar,director1,rajkumar kohli
401,tt0326983,actor2,atul agnihotri,director1,rajkumar kohli
402,tt0326983,actor3,raj babbar,director1,rajkumar kohli
403,tt0326983,actor4,rajat bedi,director1,rajkumar kohli
404,tt0327004,actor1,vikram gokhale,director1,ravi sharma shankar
405,tt0327004,actor2,dinesh hingoo,director1,ravi sharma shankar
406,tt0327004,actor3,adi irani,director1,ravi sharma shankar
407,tt0327004,actor4,farida jalal,director1,ravi sharma shankar
408,tt0327005,actor1,rajesh khanna,director1,sanjay chhel
409,tt0327005,actor2,tusshar kapoor,director1,sanjay chhel
410,tt0327005,actor3,esha deol,director1,sanjay chhel
411,tt0327005,actor4,raj babbar,director1,sanjay chhel
412,tt0327071,actor1,waheeda rehman,director1,anupam kher
413,tt0327071,actor2,anil kapoor,director1,anupam kher
414,tt0327071,actor3,fardeen khan,director1,anupam kher
415,tt0327071,actor4,abhishek bachchan,director1,anupam kher
416,tt0328503,actor1,zulfi sayed,director1,akbar khan
417,tt0328503,actor2,sonya jehan,director1,akbar khan
418,tt0328503,actor3,kabir bedi,director1,akbar khan
419,tt0328503,actor4,arbaaz khan,director1,akbar khan
420,tt0328671,actor1,rishi kapoor,director1,david dhawan
421,tt0328671,actor2,salman khan,director1,david dhawan
422,tt0328671,actor3,ameesha patel,director1,david dhawan
423,tt0328671,actor4,rati agnihotri,director1,david dhawan
424,tt0328729,actor1,shahid kapoor,director1,anant mahadevan
425,tt0328729,actor2,smita jaykar,director1,anant mahadevan
426,tt0328729,actor3,ayesha takia,director1,anant mahadevan
427,tt0328729,actor4,tulip joshi,director1,anant mahadevan
428,tt0328998,actor1,arjun rampal,director1,kundan shah
429,tt0328998,actor2,preity zinta,director1,kundan shah
430,tt0328998,actor3,mahima chaudhry,director1,kundan shah
431,tt0328998,actor4,jimmy shergill,director1,kundan shah
432,tt0329620,actor1,sanjay kapoor,director1,sushen bhatnagar
433,tt0329620,actor2,raveena tandon,director1,sushen bhatnagar
434,tt0329620,actor3,aditi govitrikar,director1,sushen bhatnagar
435,tt0329620,actor4,arbaaz khan,director1,sushen bhatnagar
436,tt0330082,actor1,amitabh bachchan,director1,kaizad gustad
437,tt0330082,actor2,jackie shroff,director1,kaizad gustad
438,tt0330082,actor3,gulshan grover,director1,kaizad gustad
439,tt0330082,actor4,padma lakshmi,director1,kaizad gustad
440,tt0330217,actor1,arjun rampal,director1,naresh malhotra
441,tt0330217,actor2,aishwarya rai bachchan,director1,naresh malhotra
442,tt0330217,actor3,priyanshu chatterjee,director1,naresh malhotra
443,tt0330217,actor4,rakhee gulzar,director1,naresh malhotra
444,tt0330783,actor1,raveena tandon,director1,sanjay jha
445,tt0330783,actor2,namrata shirodkar,director1,sanjay jha
446,tt0330783,actor3,rinke khanna,director1,sanjay jha
447,tt0330783,actor4,divya dutta,director1,sanjay jha
448,tt0330843,actor1,vivek oberoi,director1,shaad ali
449,tt0330843,actor2,rani mukerji,director1,shaad ali
